,first_accuracy,first_wait,delayed,cancelled
767,-202.0,0.0,0,0
768,-124.0,718.0,0,0
769,-119.0,2006.0,0,0
770,-914.0,465.0,1,0
771,,,1,0
772,-19.0,247.0,1,0
773,643.0,196.0,1,0
774,-9.0,0.0,1,0
775,,,1,0
776,451.0,352.0,0,0
777,-110.0,724.0,0,0
778,,,0,0
779,-79.0,46.0,0,0
780,412.0,159.0,0,1
781,,,0,0
782,,,0,0
783,,,0,0
784,,,0,0
785,-84.0,71.0,1,0
786,-68.0,552.0,1,0
787,-66.0,41.0,0,0
788,,,0,0
789,-82.0,0.0,0,0
790,,,0,0
791,-128.0,0.0,0,0
792,1525.0,20.0,0,0
793,-207.0,0.0,0,0
794,-4.0,439.0,0,0
795,,,0,0
796,2406.0,118.0,1,0
797,85.0,415.0,0,0
798,430.0,673.0,0,0
799,-117.0,487.0,0,0
800,205.0,0.0,0,0
801,5763.0,4716.0,0,0
802,,,0,0
803,-125.0,1558.0,0,0
804,,,0,0
805,,,0,0
806,,,0,0
807,,,1,0
808,1190.0,245.0,0,0
809,1371.0,258.0,0,0
810,-33.0,353.0,1,0
811,,,0,0
812,,,0,0
813,-138.0,3838.0,0,1
814,1199.0,1217.0,0,0
815,,,0,0
816,-26.0,0.0,0,0
817,1947.0,698.0,0,0
818,3125.0,825.0,0,0
819,179.0,173.0,0,0
820,2243.0,159.0,0,0
821,-101.0,495.0,0,0
822,,,0,0
823,,,0,0
824,-88.0,0.0,0,0
825,156.0,1094.0,0,0
826,2124.0,12132.0,0,0
827,847.0,189.0,0,0
828,1160.0,242.0,0,0
829,,,0,0
830,-22.0,326.0,0,0
831,-3.0,1023.0,0,1
832,,,0,0
833,147.0,235.0,0,0
834,-21.0,72.0,0,0
835,,,0,0
836,-29.0,0.0,0,0
837,0.0,47.0,0,0
838,-1.0,0.0,0,0
839,,,0,0
840,43.0,548.0,0,0
841,,,0,0
842,199.0,349.0,0,0
843,,,0,0
844,299.0,95.0,1,1
845,,,0,0
846,64.0,1409.0,0,1
847,,,1,0
848,4.0,561.0,0,0
849,-110.0,72.0,0,0
850,-129.0,645.0,0,0
851,,,0,0
852,11382.0,344.0,0,0
853,-212.0,0.0,0,0
854,-1172.0,187.0,0,0
855,111.0,282.0,0,0
856,589.0,5.0,0,0
857,,,0,0
858,49.0,200.0,0,0
859,81.0,317.0,0,0
860,500.0,265.0,1,0
861,136.0,114.0,0,1
862,183.0,397.0,0,0
863,-114.0,312.0,0,0
864,57.0,266.0,0,0
865,,,1,0
866,148.0,494.0,0,1
867,38.0,64.0,0,0
868,-299.0,0.0,0,0
869,12.0,471.0,1,0
870,211.0,0.0,1,0
871,-161.0,207.0,0,0
872,6.0,0.0,0,0
873,70.0,786.0,0,1
874,-168.0,39.0,1,0
